Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Total Energy Cost (USD),Per Capita Energy Cost (USD),Carbon Intensity (kg CO₂/kWh),Renewable Energy Consumption (TWh),Fossil Fuel Energy Consumption (TWh),Industrial Energy Consumption (TWh),Household Energy Consumption (TWh),Industrial Energy Cost (USD),Household Energy Cost (USD),Region
Russia,2012,7094.64,19307.12,57.85,27.85,39.7,32.92,2222.49,0.49,3476373600000.0,9460.4888,0.0003132632522580427,4104.249240000001,1975.8572400000003,2816.5720800000004,2335.555488,1380120319200.0002,1144422189120.0,Asia
Russia,2014,7628.97,2719.6,26.99,65.29,51.66,30.42,1541.02,0.09,686607300000.0,244.76399999999998,0.00020199581332735613,2059.0590030000003,4980.954513000001,3941.1259019999998,2320.7326740000003,354701331180.0,208865940660.00003,Asia
India,2021,5279.46,35835.45,24.14,20.77,44.21,18.96,2405.25,0.23,1214275800000.0,8242.1535,0.0004555863667875124,1274.461644,1096.543842,2334.049266,1000.985616,536831331180.0,230226691680.0,Asia
Australia,2004,9249.95,46519.48,6.8,56.82,41.1,23.78,2607.2,0.46,4254977000000.0,21398.9608,0.00028186098303234074,628.9966000000001,5255.821590000001,3801.7294500000007,2199.6381100000003,1748795547000.0002,1011833530600.0002,Australia/Oceania
Brazil,2002,8267.89,35999.98,54.06,32.82,53.98,38.41,3018.5,0.38,3141798199999.9995,13679.992400000001,0.00036508710202965935,4469.6213339999995,2713.5214979999996,4463.007022,3175.696549,1695942668360.0,1206764688620.0,South America
China,2007,8454.46,29133.14,17.75,12.53,32.53,10.61,1917.96,0.44,3719962399999.9995,12818.5816,0.00022685777684204554,1500.66665,1059.3438379999998,2750.2358379999996,897.018206,1210103768719.9998,394688010640.0,Asia
Russia,2019,6762.79,11886.43,6.05,18.66,54.4,34.34,4728.25,0.47,3178511300000.0,5586.6221,0.0006991567089914074,409.14879499999995,1261.936614,3678.9577600000002,2322.342086,1729110147200.0,1091500780419.9999,Asia
Australia,2009,3115.34,1261.09,13.91,55.84,37.58,25.35,1727.25,0.24,747681600000.0,302.66159999999996,0.0005544338659664756,433.34379400000006,1739.6058560000001,1170.744772,789.73869,280978745280.0,189537285600.0,Australia/Oceania
China,2012,452.73,34886.27,31.67,26.79,20.1,28.56,4480.5,0.36,162982800000.0,12559.0572,0.009896627128752236,143.379591,121.28636700000001,90.99873000000001,129.299688,32759542800.000004,46547887680.0,Asia
Brazil,2002,9362.99,11935.8,61.88,54.17,49.28,30.54,4016.2,0.37,3464306300000.0,4416.246,0.0004289441727482353,5793.818212,5071.931683,4614.081472,2859.457146,1707210144640.0,1057999144020.0,South America
USA,2021,5902.59,42979.05,22.22,39.04,55.11,23.68,2353.09,0.33,1947854700000.0,14183.086500000001,0.00039865381129300864,1311.5554980000002,2304.371136,3252.917349,1397.733312,1073462725170.0,461251992960.0,
UK,2007,3051.62,23585.02,80.45,58.49,39.37,15.76,2506.75,0.2,610324000000.0,4717.004,0.0008214489353196008,2455.02829,1784.892538,1201.4227939999998,480.93531199999995,240284558799.99997,96187062400.0,Europe
Australia,2008,1576.44,26766.46,29.52,44.51,38.19,37.29,4355.81,0.42,662104800000.0,11241.913199999999,0.0027630674177260154,465.365088,701.673444,602.0424360000001,587.854476,252857823120.00003,246898879920.0,Australia/Oceania
Japan,2021,8312.28,37819.86,33.15,31.6,52.22,32.21,2488.99,0.4,3324912000000.0005,15127.944000000001,0.0002994352933250564,2755.5208199999997,2626.68048,4340.672616,2677.3853880000006,1736269046400.0,1070954155200.0002,Asia
USA,2020,8381.55,39081.82,23.53,20.21,55.39,26.79,3412.93,0.25,2095387499999.9998,9770.455,0.00040719556645250584,1972.1787149999998,1693.911255,4642.540545,2245.4172449999996,1160635136250.0,561354311249.9999,
UK,2011,8163.63,32311.22,26.57,33.88,58.98,23.45,4056.05,0.24,1959271200000.0,7754.6928,0.0004968439284974943,2169.0764910000003,2765.837844,4814.908974,1914.3712349999998,1155578153760.0,459449096399.99994,Europe
India,2010,6486.32,46952.37,11.3,54.44,33.83,24.98,4544.01,0.05,324316000000.0,2347.6185,0.0007005528558566336,732.95416,3531.152608,2194.322056,1620.2827359999999,109716102800.0,81014136800.0,Asia
Canada,2001,3723.55,49123.77,30.06,61.83,43.79,34.71,1129.91,0.43,1601126500000.0,21123.2211,0.0003034496649702569,1119.29913,2302.270965,1630.542545,1292.444205,701133294350.0,555751008150.0,North America
Germany,2017,3110.3,47370.83,78.07,21.22,52.92,10.38,4878.06,0.18,559854000000.0,8526.7494,0.0015683567501527183,2428.21121,660.00566,1645.97076,322.84914000000003,296274736800.0,58112845200.00001,Europe
Japan,2008,184.69,41296.87,63.52,56.5,41.27,35.96,4828.4,0.26,48019400000.0,10737.186200000002,0.02614326709621528,117.315088,104.34985,76.221563,66.414524,19817606380.0,17267776240.0,Asia
India,2001,8352.71,35428.45,79.4,22.55,38.47,11.4,1521.91,0.24,2004650399999.9998,8502.828,0.00018220553568841733,6632.05174,1883.536105,3213.2875369999992,952.20894,771189008879.9998,228530145600.0,Asia
Brazil,2001,965.58,33334.63,13.91,25.53,42.88,28.48,3087.95,0.36,347608800000.0,12000.466799999998,0.0031980260568777313,134.31217800000002,246.51257400000003,414.04070400000006,274.997184,149054653440.00003,98998986240.0,South America
India,2002,6344.47,5635.63,43.73,47.19,34.27,19.99,282.24,0.23,1459228100000.0,1296.1949000000002,4.448598543298337e-05,2774.4367310000002,2993.955393,2174.249869,1268.259553,500077469870.00006,291699697190.0,Asia
Canada,2015,5090.34,13938.48,24.49,30.24,27.68,30.35,880.75,0.13,661744200000.0,1812.0024,0.0001730238058754425,1246.6242659999998,1539.318816,1409.006112,1544.91819,183170794560.0,200839364700.0,North America
Brazil,2018,5314.22,781.57,66.3,56.31,22.67,12.57,2939.9,0.44,2338256800000.0,343.8908,0.00055321383006349,3523.3278600000003,2992.4372820000003,1204.733674,667.997454,530082816560.0,293918879760.0,South America
Japan,2003,9274.46,7301.79,87.47,76.9,44.4,26.69,3268.03,0.13,1205679800000.0,949.2327,0.0003523687632487498,8112.370161999999,7132.05974,4117.86024,2475.353374,535321831200.0,321795938620.0,Asia
Canada,2022,412.99,22241.86,74.31,20.42,35.17,35.66,2696.28,0.06,24779400000.0,1334.5116,0.006528681081866389,306.892869,84.332558,145.24858300000002,147.272234,8714914980.000002,8836334040.0,North America
China,2024,7756.58,7753.56,8.0,49.94,55.32,24.84,3538.37,0.14,1085921200000.0001,1085.4984000000002,0.000456176562350933,620.5264,3873.636052,4290.9400559999995,1926.7344719999999,600731607840.0,269742826080.0,Asia
Germany,2017,615.32,45132.34,31.92,74.63,28.92,12.53,3974.81,0.25,153830000000.0,11283.085,0.006459744523174933,196.41014400000003,459.21331599999996,177.950544,77.099596,44487636000.0,19274899000.0,Europe
Japan,2019,477.72,40382.11,7.43,22.36,32.43,11.12,883.87,0.24,114652800000.0,9691.7064,0.001850184208322867,35.494596,106.818192,154.924596,53.122464,37181903040.0,12749391360.0,Asia
China,2024,4355.2,4044.79,8.41,35.68,58.82,28.64,3315.11,0.41,1785632000000.0,1658.3638999999998,0.0007611843313739897,366.27232,1553.93536,2561.72864,1247.32928,1050308742399.9999,511405004800.0,Asia
UK,2017,724.44,12821.23,11.76,18.65,42.25,12.09,2834.86,0.14,101421600000.00002,1794.9722000000002,0.0039131743139528465,85.194144,135.10806,306.07590000000005,87.58479600000001,42850626000.000015,12261871440.000004,Europe
Japan,2009,7912.53,41044.06,28.49,54.94,33.87,12.14,632.05,0.4,3165012000000.0,16417.624,7.98796339476754e-05,2254.2797969999997,4347.143982,2679.9739109999996,960.581142,1071989564399.9999,384232456800.0,Asia
UK,2010,5342.67,40250.78,30.86,56.84,54.44,22.76,1181.59,0.09,480840300000.0,3622.5701999999997,0.00022116095510297287,1648.7479620000001,3036.773628,2908.549548,1215.991692,261769459320.0,109439252280.0,Europe
Brazil,2016,387.48,47299.8,39.04,56.49,49.74,16.29,2127.36,0.26,100744800000.0,12297.948,0.00549024465778879,151.272192,218.88745200000002,192.73255200000003,63.120492000000006,50110463520.00001,16411327920.000002,South America
China,2023,500.96,49878.61,39.42,47.95,42.93,16.13,4325.6,0.44,220422400000.0,21946.5884,0.008634621526668796,197.478432,240.21032,215.06212799999997,80.80484799999999,94627336319.99998,35554133120.0,Asia
Germany,2024,6165.42,48825.37,70.57,62.24,55.56,24.43,1124.28,0.24,1479700800000.0,11718.0888,0.00018235254045953074,4350.9368939999995,3837.3574080000003,3425.507352,1506.212106,822121764480.0,361490905440.0,Europe
Canada,2022,8080.51,20801.83,17.02,12.51,23.76,18.42,955.47,0.48,3878644800000.0,9984.8784,0.00011824377421722143,1375.3028020000002,1010.871801,1919.929176,1488.4299420000002,921566004480.0,714446372160.0001,North America
Russia,2023,4434.22,12891.26,18.41,77.03,35.78,16.58,3618.71,0.33,1463292600000.0,4254.1158000000005,0.000816087158508148,816.339902,3415.6796660000005,1586.563916,735.193676,523566092280.0,242613913080.0,Asia
India,2019,5590.35,38041.3,58.26,25.55,52.42,25.43,4880.18,0.39,2180236500000.0,14836.107000000002,0.0008729650200792437,3256.93791,1428.334425,2930.4614700000006,1421.626005,1142879973300.0002,554434141950.0,Asia
USA,2015,8018.31,15314.01,53.6,18.51,35.44,18.73,2264.28,0.28,2245126800000.0,4287.9228,0.000282388682902008,4297.81416,1484.1891810000002,2841.6890639999997,1501.829463,795672937920.0,420512249640.00006,
Germany,2019,6144.01,40416.82,18.09,75.88,57.07,12.41,1783.18,0.24,1474562400000.0,9700.0368,0.00029023064741105564,1111.451409,4662.074788,3506.386507,762.4716410000001,841532761680.0,182993193840.00003,Europe
China,2012,2325.13,26930.76,77.44,68.13,26.1,30.48,1307.01,0.09,209261700000.0,2423.7684,0.0005621234081535226,1800.5806719999998,1584.1110689999998,606.85893,708.6996240000001,54617303700.0,63782966160.00001,Asia
Russia,2001,6169.22,39799.4,32.97,63.54,33.47,27.57,296.22,0.1,616922000000.0,3979.9400000000005,4.801579454128723e-05,2033.9918340000002,3919.922388,2064.837934,1700.8539540000002,206483793400.00003,170085395400.00003,Asia
Germany,2023,6319.97,14156.05,36.19,17.33,37.03,16.36,933.15,0.31,1959190700000.0,4388.3755,0.00014765101733077847,2287.197143,1095.250801,2340.2848910000002,1033.9470919999999,725488316210.0,320523598519.99994,Europe
China,2001,7367.66,25647.35,40.74,66.53,47.48,27.47,512.4,0.33,2431327800000.0,8463.6255,6.954718323049652e-05,3001.584684,4901.704197999999,3498.1649679999996,2023.8962019999997,1154394439440.0,667885746660.0,Asia
Australia,2024,6246.65,28419.18,32.43,52.63,27.81,38.67,2495.8,0.49,3060858500000.0,13925.3982,0.00039954215459486286,2025.788595,3287.611895,1737.1933649999999,2415.5795550000003,851224748849.9999,1183633981950.0002,Australia/Oceania
Australia,2013,9695.5,47183.85,52.38,61.23,20.39,38.69,4892.08,0.44,4266020000000.0,20760.894,0.0005045722242277345,5078.5029,5936.55465,1976.91245,3751.1889499999997,869841478000.0,1650523137999.9998,Australia/Oceania
UK,2003,2053.15,13696.58,38.04,78.46,59.06,25.96,3947.64,0.43,882854500000.0,5889.529399999999,0.0019227236198037163,781.01826,1610.90149,1212.59039,532.99774,521413867700.0,229189028200.0,Europe
Germany,2016,9515.8,46866.07,27.05,23.61,55.95,12.94,3028.37,0.18,1712844000000.0,8435.8926,0.00031824649530254946,2574.0238999999997,2246.68038,5324.0901,1231.3445199999999,958336218000.0,221642013599.99994,Europe
Australia,2012,5429.56,40340.52,81.88,45.31,32.01,23.75,2458.86,0.24,1303094400000.0,9681.724799999998,0.0004528654255593455,4445.723728,2460.1336360000005,1738.002156,1289.5205,417120517440.0,309484920000.0,Australia/Oceania
China,2003,6752.37,36679.26,31.21,62.73,39.34,10.81,3105.05,0.1,675237000000.0,3667.9260000000004,0.00045984595038482787,2107.414677,4235.761700999999,2656.3823580000003,729.931197,265638235800.00006,72993119700.0,Asia
UK,2002,1084.67,39450.08,64.37,40.36,39.56,22.46,1911.33,0.31,336247700000.00006,12229.524800000001,0.0017621304175463503,698.2020790000001,437.77281200000004,429.0954520000001,243.61688200000003,133019590120.00002,75521233420.00002,Europe
China,2011,3867.7,30468.54,34.51,13.83,54.77,37.28,933.01,0.08,309416000000.0,2437.4832,0.00024123122269048788,1334.74327,534.90291,2118.33929,1441.87856,169467143200.0,115350284800.0,Asia
UK,2021,7716.85,12581.96,41.99,17.8,43.88,24.02,2969.38,0.25,1929212500000.0,3145.49,0.00038479172201092413,3240.3053150000005,1373.5993000000003,3386.15378,1853.58737,846538445000.0,463396842500.0,Europe
Germany,2022,7098.42,9880.0,25.06,52.15,53.06,26.51,2664.11,0.3,2129526000000.0,2964.0,0.0003753102803159013,1778.864052,3701.82603,3766.4216520000004,1881.791142,1129926495600.0,564537342600.0,Europe
Russia,2007,497.38,43383.9,68.95,29.95,56.48,14.74,4725.46,0.15,74607000000.0,6507.585,0.009500703687321565,342.94351,148.96531,280.92022399999996,73.313812,42138033599.99999,10997071800.0,Asia
Canada,2001,5511.28,36394.4,67.66,19.65,42.64,10.47,3266.67,0.4,2204512000000.0,14557.760000000002,0.0005927243761884716,3728.9320479999997,1082.96652,2350.009792,577.031016,940003916800.0,230812406400.0,North America
Japan,2005,973.95,11053.61,6.89,33.79,31.42,39.8,3878.48,0.35,340882500000.0,3868.7635,0.00398221674623954,67.10515500000001,329.09770499999996,306.01509000000004,387.6321,107105281500.00002,135671234999.99998,Asia
Russia,2021,9958.98,30947.12,10.12,24.07,39.95,20.15,508.87,0.12,1195077600000.0,3713.6544,5.1096598246005116e-05,1007.8487759999999,2397.1264859999997,3978.61251,2006.7344699999999,477433501200.0,240808136399.99997,Asia
Brazil,2009,8983.24,22653.55,83.4,11.68,54.03,18.38,3816.64,0.49,4401787600000.0,11100.2395,0.00042486229912592783,7492.02216,1049.242432,4853.644572,1651.1195119999998,2378285840280.0,809048560879.9999,South America
China,2011,308.7,8353.43,80.55,20.63,43.34,27.14,4915.1,0.29,89523000000.0,2422.4946999999997,0.01592193067703272,248.65785,63.68481,133.79058,83.78118,38799268200.0,24296542200.0,Asia
Brazil,2020,8600.63,26826.93,48.02,71.82,55.83,32.36,3304.6,0.06,516037799999.99994,1609.6158,0.0003842276670429957,4130.022526,6176.972465999998,4801.731728999999,2783.1638679999996,288103903739.99994,166989832079.99997,South America
Russia,2009,9202.35,14435.2,46.94,10.84,55.82,17.54,3723.31,0.21,1932493500000.0,3031.392,0.0004046042586947899,4319.58309,997.53474,5136.75177,1614.09219,1078717871700.0,338959359900.0,Asia
UK,2009,3600.13,5264.08,74.06,64.17,34.93,25.72,4898.63,0.49,1764063700000.0,2579.3992,0.001360681419837617,2666.2562780000003,2310.203421,1257.525409,925.9534359999999,616187450410.0,453717183639.99994,Europe
Japan,2022,7223.07,23614.44,16.77,62.74,37.92,19.98,1986.81,0.46,3322612200000.0,10862.6424,0.0002750644808924737,1211.3088389999998,4531.754118,2738.988144,1443.169386,1259934546240.0,663857917560.0,Asia
Japan,2002,4476.83,29710.37,60.56,49.5,47.12,24.43,4129.68,0.12,537219600000.0,3565.2443999999996,0.0009224562916170595,2711.168248,2216.03085,2109.482296,1093.689569,253137875520.00003,131242748279.99998,Asia
USA,2019,6586.8,2821.87,45.46,24.59,24.44,14.84,2028.48,0.43,2832324000000.0,1213.4041,0.00030796137730005463,2994.35928,1619.69412,1609.8139200000003,977.48112,692219985600.0001,420316881600.0,
Japan,2009,3469.14,20403.59,68.18,71.46,38.62,25.3,2158.3,0.33,1144816200000.0,6733.184700000001,0.0006221426635996242,2365.259652,2479.047444,1339.781868,877.69242,442128016440.0,289638498600.0,Asia
Canada,2008,3293.34,13254.27,7.56,43.26,25.98,11.42,3308.3,0.06,197600400000.0,795.2562,0.0010045425009261115,248.97650399999998,1424.698884,855.6097320000001,376.09942800000005,51336583920.00001,22565965680.000004,North America
Japan,2019,4301.9,2017.2,55.38,22.12,53.92,35.2,1319.27,0.39,1677740999999.9998,786.7080000000001,0.0003066714707454846,2382.3922199999997,951.5802799999999,2319.5844799999995,1514.2688,904637947199.9999,590564832000.0,Asia
Russia,2018,1541.12,6720.3,52.32,40.03,57.71,28.83,4964.27,0.24,369868800000.0,1612.872,0.0032212092504152823,806.3139839999999,616.9103359999999,889.380352,444.3048959999999,213451284480.0,106633175039.99998,Asia
USA,2013,8328.28,7382.19,76.47,23.64,25.66,38.24,1679.7,0.23,1915504400000.0002,1697.9037,0.00020168630257388077,6368.635716000001,1968.8053920000002,2137.0366480000002,3184.734272,491518429040.00006,732488882560.0,
Russia,2001,3552.11,9552.28,62.53,36.32,46.69,27.99,658.11,0.22,781464200000.0,2101.5016,0.0001852729785958205,2221.134383,1290.126352,1658.480159,994.235589,364865634980.0,218731829580.0,Asia
Russia,2004,4061.48,40267.19,79.81,44.77,45.46,15.46,1646.64,0.32,1299673600000.0,12885.500800000002,0.0004054285629868915,3241.4671880000005,1818.324596,1846.3488080000002,627.904808,590831618560.0001,200929538560.0,Asia
India,2019,8951.14,22254.85,80.42,35.19,50.4,24.52,4287.03,0.37,3311921800000.0,8234.2945,0.0004789367611276328,7198.506788,3149.9061659999993,4511.374559999999,2194.8195279999995,1669208587199.9995,812083225359.9998,Asia
USA,2007,5016.58,7780.76,39.69,55.99,47.83,29.94,1603.94,0.34,1705637200000.0002,2645.4584000000004,0.0003197277826726575,1991.0806019999998,2808.783142,2399.430214,1501.964052,815806272760.0,510667777680.00006,
Russia,2006,5488.11,5464.7,16.68,75.51,28.69,21.23,3076.21,0.16,878097600000.0,874.352,0.000560522657162484,915.416748,4144.071861,1574.5387589999998,1165.125753,251926201439.99997,186420120480.0,Asia
India,2005,9569.33,15248.05,58.57,34.37,31.65,26.58,4679.84,0.37,3540652100000.0,5641.778499999999,0.0004890457325643488,5604.756581,3288.978721,3028.692945,2543.527914,1120616389650.0,941105328180.0,Asia
India,2010,8878.59,40001.77,79.27,34.9,26.61,14.88,1336.83,0.11,976644900000.0,4400.1947,0.0001505678266481502,7038.058293,3098.6279099999997,2362.592799,1321.134192,259885207890.0,145324761120.0,Asia
USA,2011,1777.72,18540.76,11.37,61.68,56.85,33.31,700.26,0.49,871082800000.0,9084.972399999999,0.00039390905204419145,202.126764,1096.497696,1010.63382,592.158532,495210571800.0,290157680680.0,
Brazil,2017,4784.83,8414.92,52.42,47.14,40.87,37.29,529.4,0.26,1244055800000.0,2187.8792000000003,0.00011064133939972789,2508.207886,2255.568862,1955.5600209999998,1784.263107,508445605459.99994,463908407820.0,South America
UK,2018,9715.83,20503.75,14.77,40.02,59.05,19.45,2229.82,0.09,874424700000.0,1845.3374999999999,0.00022950380976200695,1435.028091,3888.2751660000004,5737.197615,1889.728935,516347785350.0,170075604150.0,Europe
Canada,2009,3786.43,27987.92,7.29,66.97,37.97,33.8,566.22,0.31,1173793300000.0,8676.2552,0.00014953927578220119,276.03074699999996,2535.7721709999996,1437.7074709999997,1279.81334,445689316009.99994,396742135400.0,North America
UK,2024,3778.57,1964.42,62.77,72.37,42.11,12.76,2296.35,0.31,1171356700000.0,608.9702,0.0006077299084045022,2371.8083890000003,2734.5511090000005,1591.155827,482.145532,493258306370.0,149465114920.0,Europe
Japan,2024,2030.8,31568.27,62.96,51.34,51.57,17.4,4320.45,0.07,142156000000.0,2209.7789000000002,0.0021274620839078196,1278.59168,1042.61272,1047.28356,353.3592,73309849200.00002,24735144000.000004,Asia
Canada,2020,1231.8,20057.49,56.06,22.96,51.89,23.86,3898.54,0.05,61590000000.0,1002.8745000000001,0.0031649131352492286,690.5470799999999,282.82128,639.18102,293.90748,31959051000.0,14695374000.0,North America
Japan,2013,7429.02,981.43,78.03,42.64,29.25,21.59,2929.42,0.5,3714510000000.0,490.715,0.0003943211890666602,5796.864306,3167.7341280000005,2172.98835,1603.925418,1086494175000.0,801962709000.0,Asia
Russia,2002,7723.3,33857.53,11.87,45.31,31.53,28.59,4259.59,0.23,1776359000000.0,7787.2319,0.0005515246073569588,916.7557099999999,3499.42723,2435.15649,2208.09147,560085992700.0,507861038100.0,Asia
China,2017,9693.23,35763.19,13.95,40.25,23.91,26.89,546.34,0.16,1550916800000.0,5722.1104000000005,5.636304926221703e-05,1352.205585,3901.525075,2317.651293,2606.509547,370824206880.0,417041527520.0,Asia
USA,2023,7756.84,31627.57,78.49,28.37,52.22,12.62,3066.62,0.3,2327052000000.0,9488.270999999999,0.00039534398028062977,6088.343715999999,2200.6155080000003,4050.6218479999998,978.913208,1215186554400.0,293673962400.0,
Canada,2014,2509.19,17425.55,47.78,43.06,51.75,13.95,622.42,0.05,125459500000.0,871.2775,0.00024805614560874227,1198.8909820000001,1080.457214,1298.505825,350.03200499999997,64925291250.0,17501600250.0,North America
Canada,2005,497.15,26715.44,28.21,41.26,23.25,11.55,2436.59,0.06,29829000000.0,1602.9263999999998,0.004901116363270642,140.246015,205.12409,115.587375,57.42082500000001,6935242500.0,3445249500.0000005,North America
Russia,2009,9855.83,19664.31,67.74,24.66,30.3,38.58,2344.14,0.1,985583000000.0,1966.4310000000003,0.00023784298227546538,6676.339241999999,2430.447678,2986.3164899999997,3802.379214,298631648999.99994,380237921400.0,Asia
Brazil,2011,3470.46,35180.78,81.02,73.24,37.99,29.36,1362.52,0.41,1422888600000.0,14424.119799999999,0.0003926050148971606,2811.766692,2541.7649039999997,1318.427754,1018.927056,540555379139.99994,417760092960.0,South America
India,2006,3188.52,29387.22,63.62,71.97,41.67,35.67,4157.78,0.16,510163200000.0,4701.9552,0.0013039842936534817,2028.536424,2294.777844,1328.6562840000001,1137.345084,212585005440.00003,181975213440.0,Asia
Russia,2016,9068.96,4549.06,72.31,63.17,40.9,26.24,1179.73,0.28,2539308800000.0,1273.7368000000001,0.00013008437571673047,6557.764976,5728.862032,3709.20464,2379.695104,1038577299200.0001,666314629120.0001,Asia
Australia,2000,5892.49,32333.13,29.01,38.07,59.32,15.82,2781.88,0.15,883873500000.0,4849.9695,0.00047210601969625745,1709.411349,2243.270943,3495.4250679999996,932.191918,524313760199.9999,139828787700.0,Australia/Oceania
India,2017,2227.22,34518.3,29.55,35.92,50.57,28.8,2437.19,0.3,668166000000.0,10355.49,0.0010942744767018975,658.14351,800.017424,1126.305154,641.43936,337891546200.0,192431808000.0,Asia
USA,2014,8902.05,18849.76,78.45,60.15,24.53,25.16,2186.68,0.28,2492574000000.0,5277.9328000000005,0.00024563780252863105,6983.658225,5354.583075,2183.672865,2239.75578,611428402200.0,627131618400.0,
India,2018,9934.27,43851.4,57.26,52.57,31.74,22.25,216.03,0.23,2284882100000.0,10085.822,2.174593603757498e-05,5688.363002000001,5222.445739,3153.1372979999996,2210.375075,725221578539.9999,508386267250.0,Asia
Brazil,2000,958.12,42229.21,24.9,52.04,33.82,21.15,3498.83,0.24,229948800000.0,10135.0104,0.0036517659583350727,238.57188,498.605648,324.036184,202.64237999999997,77768684160.0,48634171199.99999,South America
India,2004,8636.29,9170.74,49.55,18.69,32.61,29.5,112.79,0.34,2936338600000.0005,3118.0516000000002,1.3060006090578244e-05,4279.281695000001,1614.122601,2816.2941690000002,2547.70555,957540017460.0001,866219887000.0001,Asia
USA,2014,3966.11,45261.18,63.3,53.28,51.44,28.53,4111.71,0.43,1705427300000.0,19462.3074,0.0010367110342375779,2510.54763,2113.143408,2040.166984,1131.531183,877271803120.0,486558408690.0,
Brazil,2002,5288.32,22323.18,23.58,73.13,34.42,14.55,1368.65,0.19,1004780800000.0,4241.4042,0.00025880619932228,1246.985856,3867.3484159999994,1820.239744,769.45056,345845551360.0,146195606400.0,South America
UK,2000,9156.68,36325.61,60.67,16.01,39.7,34.49,644.03,0.29,2655437200000.0,10534.426899999999,7.03344443619303e-05,5555.357756,1465.984468,3635.2019600000003,3158.1389320000003,1054208568400.0001,915860290280.0001,Europe
Canada,2007,9736.45,40797.8,8.58,33.74,41.34,29.08,2114.35,0.43,4186673500000.0,17543.054,0.00021715820447904522,835.38741,3285.0782300000005,4025.0484300000007,2831.35966,1730770824900.0005,1217484653800.0,North America
Canada,2011,2695.42,25503.06,30.81,45.63,30.82,26.07,2818.83,0.13,350404600000.0,3315.3978,0.0010457850724562407,830.458902,1229.9201460000002,830.728444,702.695994,107994697720.0,91350479220.0,North America
Japan,2021,2207.22,20255.55,62.29,58.02,32.91,32.47,1586.3,0.49,1081537800000.0,9925.2195,0.0007186868549578202,1374.8773379999998,1280.629044,726.3961019999998,716.6843339999999,355934089979.9999,351175323659.99994,Asia
